epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.87686,1.45163,3.58476,2.01754,0.0087,1,0.05528,0.02563,1.43403,4.33162,2.10043,0,0,0,0,0,0,0,0
2,9.78651,1.61456,4.11719,2.20621,0.0087,1,0.04975,0.0203,1.48315,4.38053,2.124,3.26701e-05,1.089e-05,3.26701e-05,1.089e-05,3.26701e-05,1.089e-05,3.26701e-05,1.089e-05
3,13.3794,0.71893,3.50345,1.39433,0.00833,1,0.04523,0.01895,1.47872,4.38804,2.12795,6.40203e-05,2.13401e-05,6.40203e-05,2.13401e-05,6.40203e-05,2.13401e-05,6.40203e-05,2.13401e-05
4,16.7497,1.3923,3.59892,1.80877,0.00826,1,0.04326,0.02151,1.43145,4.37028,2.11613,9.40506e-05,3.13502e-05,9.40506e-05,3.13502e-05,9.40506e-05,3.13502e-05,9.40506e-05,3.13502e-05
5,20.065,0.90104,3.56064,1.347,0.00787,1,0.03317,0.01834,1.44795,4.40618,2.13162,0.000122761,4.09204e-05,0.000122761,4.09204e-05,0.000122761,4.09204e-05,0.000122761,4.09204e-05
6,23.6626,1.00116,3.52385,1.61081,0.00781,1,0.03431,0.01907,1.37541,4.35677,2.10137,0.000150152,5.00506e-05,0.000150152,5.00506e-05,0.000150152,5.00506e-05,0.000150152,5.00506e-05
7,27.5394,1.22498,3.44692,1.51537,0.00769,1,0.0398,0.02127,1.29028,4.30969,2.06714,0.000176222,5.87408e-05,0.000176222,5.87408e-05,0.000176222,5.87408e-05,0.000176222,5.87408e-05
8,30.6581,0.91166,3.35789,1.44514,0.00775,1,0.03685,0.0201,1.24062,4.27661,2.05107,0.000200973,6.69911e-05,0.000200973,6.69911e-05,0.000200973,6.69911e-05,0.000200973,6.69911e-05
9,33.7561,1.296,3.53893,1.78659,0.00787,1,0.04738,0.02537,1.15343,4.23656,2.01252,0.000224404,7.48014e-05,0.000224404,7.48014e-05,0.000224404,7.48014e-05,0.000224404,7.48014e-05
10,36.6305,1.01607,3.26048,1.4709,0.00794,1,0.04523,0.02804,1.03442,4.19999,1.97103,0.000246515,8.21718e-05,0.000246515,8.21718e-05,0.000246515,8.21718e-05,0.000246515,8.21718e-05
11,39.7499,1.54144,3.73796,2.16581,0.00746,1,0.04326,0.02797,1.09916,4.20496,1.99282,0.000267307,8.91022e-05,0.000267307,8.91022e-05,0.000267307,8.91022e-05,0.000267307,8.91022e-05
12,42.6402,1.22152,3.43783,1.59435,0.00752,1,0.04738,0.02961,1.00434,4.18951,1.95872,0.000286778,9.55927e-05,0.000286778,9.55927e-05,0.000286778,9.55927e-05,0.000286778,9.55927e-05
13,45.7975,0.99889,3.38367,1.44888,0.00741,1,0.04523,0.01809,1.00693,4.19574,1.96073,0.00030493,0.000101643,0.00030493,0.000101643,0.00030493,0.000101643,0.00030493,0.000101643
14,48.8741,1.24468,3.89099,1.67419,0.00725,1,0.04738,0.01895,0.94614,4.1702,1.93912,0.000321761,0.000107254,0.000321761,0.000107254,0.000321761,0.000107254,0.000321761,0.000107254
15,52.0858,0.9866,3.71596,1.69491,0.00735,1,0.04975,0.02488,0.85594,4.16855,1.90966,0.000337273,0.000112424,0.000337273,0.000112424,0.000337273,0.000112424,0.000337273,0.000112424
16,56.2443,0.91498,3.43017,1.48315,0.00735,1,0.04738,0.02369,0.7939,4.15499,1.88488,0.000351465,0.000117155,0.000351465,0.000117155,0.000351465,0.000117155,0.000351465,0.000117155
17,59.6939,1.03589,3.56762,1.71283,0.00735,1,0.04975,0.02488,0.71148,4.14224,1.85256,0.000364337,0.000121446,0.000364337,0.000121446,0.000364337,0.000121446,0.000364337,0.000121446
18,62.7562,0.85414,3.3545,1.36271,0.00735,1,0.04975,0.02488,0.71148,4.14224,1.85256,0.000375889,0.000125296,0.000375889,0.000125296,0.000375889,0.000125296,0.000375889,0.000125296
19,66.3343,1.26401,3.62328,2.07859,0.0073,1,0.04975,0.02488,0.73571,4.16483,1.87639,0.000386121,0.000128707,0.000386121,0.000128707,0.000386121,0.000128707,0.000386121,0.000128707
20,69.8626,0.97058,3.66142,1.66533,0.0073,1,0.04975,0.02488,0.73571,4.16483,1.87639,0.000395034,0.000131678,0.000395034,0.000131678,0.000395034,0.000131678,0.000395034,0.000131678
21,73.618,0.56413,3.47444,1.31776,0.00735,1,0.04326,0.03028,0.83552,4.20082,1.90784,0.000402626,0.000134209,0.000402626,0.000134209,0.000402626,0.000134209,0.000402626,0.000134209
22,76.5518,1.47904,3.80118,2.10639,0.00735,1,0.04326,0.03028,0.83552,4.20082,1.90784,0.000408899,0.0001363,0.000408899,0.0001363,0.000408899,0.0001363,0.000408899,0.0001363
23,80.6921,1.29419,3.95455,2.01447,0.00735,1,0.04146,0.02902,0.97063,4.22848,1.95638,0.000413852,0.000137951,0.000413852,0.000137951,0.000413852,0.000137951,0.000413852,0.000137951
24,84.5046,1.08593,3.4627,1.59979,0.00735,1,0.04146,0.02902,0.97063,4.22848,1.95638,0.000417485,0.000139162,0.000417485,0.000139162,0.000417485,0.000139162,0.000417485,0.000139162
25,87.9426,1.06441,3.29977,1.47439,0.00758,1,0.04146,0.02902,0.78903,4.17196,1.86847,0.000419798,0.000139933,0.000419798,0.000139933,0.000419798,0.000139933,0.000419798,0.000139933
26,90.8675,0.74189,3.30482,1.37018,0.00758,1,0.04146,0.02902,0.78903,4.17196,1.86847,0.000420791,0.000140264,0.000420791,0.000140264,0.000420791,0.000140264,0.000420791,0.000140264
27,95.1334,1.17552,3.52514,1.58701,0.00746,1,0.03827,0.02679,0.7826,4.1713,1.86808,0.000420465,0.000140155,0.000420465,0.000140155,0.000420465,0.000140155,0.000420465,0.000140155
28,97.8957,0.62783,3.22027,1.26023,0.00746,1,0.03827,0.02679,0.7826,4.1713,1.86808,0.000418818,0.000139606,0.000418818,0.000139606,0.000418818,0.000139606,0.000418818,0.000139606
29,101.183,1.04133,3.43379,1.66583,0.00741,1,0.03554,0.02843,0.72602,4.17577,1.85031,0.000415852,0.000138617,0.000415852,0.000138617,0.000415852,0.000138617,0.000415852,0.000138617
30,103.87,1.2202,3.78137,1.8602,0.00741,1,0.03554,0.02843,0.72602,4.17577,1.85031,0.000411566,0.000137189,0.000411566,0.000137189,0.000411566,0.000137189,0.000411566,0.000137189
31,107.793,1.00682,3.41091,1.55964,0.00709,1,0.03431,0.03088,0.8079,4.15754,1.86332,0.000405959,0.00013532,0.000405959,0.00013532,0.000405959,0.00013532,0.000405959,0.00013532
32,110.874,0.95571,3.336,1.49319,0.00709,1,0.03431,0.03088,0.8079,4.15754,1.86332,0.000399033,0.000133011,0.000399033,0.000133011,0.000399033,0.000133011,0.000399033,0.000133011
33,114.271,0.65545,3.22092,1.22996,0.00699,1,0.03554,0.03198,0.78522,4.15252,1.8585,0.000390788,0.000130263,0.000390788,0.000130263,0.000390788,0.000130263,0.000390788,0.000130263
34,117.71,0.98549,3.47805,1.54395,0.00699,1,0.03554,0.03198,0.78522,4.15252,1.8585,0.000381222,0.000127074,0.000381222,0.000127074,0.000381222,0.000127074,0.000381222,0.000127074
35,121.125,1.30482,3.84622,1.84254,0.00714,1,0.03431,0.02402,0.75085,4.15833,1.83131,0.000370336,0.000123445,0.000370336,0.000123445,0.000370336,0.000123445,0.000370336,0.000123445
36,124.075,0.73079,3.27384,1.33153,0.00714,1,0.03431,0.02402,0.75085,4.15833,1.83131,0.000358131,0.000119377,0.000358131,0.000119377,0.000358131,0.000119377,0.000358131,0.000119377
37,127.515,0.90255,3.52226,1.42037,0.00704,1,0.0321,0.02247,0.73729,4.14732,1.82028,0.000344606,0.000114869,0.000344606,0.000114869,0.000344606,0.000114869,0.000344606,0.000114869
38,130.188,0.88647,3.37224,1.44038,0.00704,1,0.0321,0.02247,0.73729,4.14732,1.82028,0.00032976,0.00010992,0.00032976,0.00010992,0.00032976,0.00010992,0.00032976,0.00010992
39,133.894,0.82381,3.25871,1.37391,0.00694,1,0.03685,0.02948,0.65014,4.13897,1.78133,0.000313595,0.000104532,0.000313595,0.000104532,0.000313595,0.000104532,0.000313595,0.000104532
40,136.551,3.00754,5.37941,2.89637,0.00694,1,0.03685,0.02948,0.65014,4.13897,1.78133,0.00029611,9.87035e-05,0.00029611,9.87035e-05,0.00029611,9.87035e-05,0.00029611,9.87035e-05
41,139.755,0.98483,4.30374,1.47207,0.00709,1,0.04146,0.03317,0.59401,4.13037,1.75955,0.000277306,9.24352e-05,0.000277306,9.24352e-05,0.000277306,9.24352e-05,0.000277306,9.24352e-05
42,143.231,1.5521,4.56469,2.09615,0.00709,1,0.04146,0.03317,0.59401,4.13037,1.75955,0.000257181,8.5727e-05,0.000257181,8.5727e-05,0.000257181,8.5727e-05,0.000257181,8.5727e-05
43,146.808,0.86653,4.30435,1.49249,0.00694,1,0.04523,0.02525,0.68327,4.13732,1.77999,0.000235736,7.85788e-05,0.000235736,7.85788e-05,0.000235736,7.85788e-05,0.000235736,7.85788e-05
44,149.459,1.18664,4.65242,1.83728,0.00694,1,0.04523,0.02525,0.68327,4.13732,1.77999,0.000212972,7.09907e-05,0.000212972,7.09907e-05,0.000212972,7.09907e-05,0.000212972,7.09907e-05
45,152.407,0.56705,3.94559,1.34786,0.0069,1,0.04738,0.02637,0.6993,4.12632,1.77632,0.000188888,6.29626e-05,0.000188888,6.29626e-05,0.000188888,6.29626e-05,0.000188888,6.29626e-05
46,154.815,1.65453,4.5415,2.17,0.0069,1,0.04738,0.02637,0.6993,4.12632,1.77632,0.000163484,5.44945e-05,0.000163484,5.44945e-05,0.000163484,5.44945e-05,0.000163484,5.44945e-05
47,158.328,0.68782,4.49326,1.27002,0.00709,1,0.05237,0.03011,0.67552,4.09498,1.75442,0.00013676,4.55866e-05,0.00013676,4.55866e-05,0.00013676,4.55866e-05,0.00013676,4.55866e-05
48,160.938,2.19865,4.88338,2.59686,0.00709,1,0.05237,0.03011,0.67552,4.09498,1.75442,0.000108716,3.62386e-05,0.000108716,3.62386e-05,0.000108716,3.62386e-05,0.000108716,3.62386e-05
49,163.886,0.7413,3.95653,1.61563,0.00694,1,0.05237,0.03011,0.73017,4.1204,1.76139,7.93521e-05,2.64507e-05,7.93521e-05,2.64507e-05,7.93521e-05,2.64507e-05,7.93521e-05,2.64507e-05
50,166.44,1.05445,4.24808,1.3455,0.00694,1,0.05237,0.03011,0.73017,4.1204,1.76139,4.86685e-05,1.62228e-05,4.86685e-05,1.62228e-05,4.86685e-05,1.62228e-05,4.86685e-05,1.62228e-05
